budget,campaign_name,channel,conversion_rate,end_date,revenue,roi,start_date,target_audience,type,impressions,clicks,leads,conversions
8082.3,Public-key multi-tasking throughput,organic,0.4,2/23/2024,709593.48,0.35,4/1/2023,B2B,email,25795,3577,1032,4
17712.98,De-engineered analyzing task-force,promotion,0.66,4/22/2024,516609.1,0.74,2/15/2023,B2C,email,10860,1192,513,3
84643.1,Balanced solution-oriented Local Area Network,paid,0.28,10/11/2023,458227.42,0.37,12/20/2022,B2B,podcast,48158,2803,1085,3
14589.75,Distributed real-time methodology,organic,0.19,9/27/2023,89958.73,0.47,9/26/2022,B2B,webinar,21284,2134,671,1
39291.9,Front-line executive infrastructure,promotion,0.81,5/15/2024,47511.35,0.3,7/7/2023,B2B,social media,16265,2772,725,5
75569.28,Upgradable transitional data-warehouse,referral,0.67,12/13/2023,558302.11,0.59,6/29/2023,B2C,social media,26850,1361,321,2
28964.45,Innovative context-sensitive framework,referral,0.17,2/23/2024,172882.59,0.59,3/1/2023,B2C,email,47194,4720,1814,3
36800.58,User-friendly client-driven service-desk,promotion,0.52,12/11/2023,206241.46,0.4,1/6/2023,B2C,webinar,31962,3507,1516,7
40493.88,Proactive neutral methodology,organic,0.47,1/11/2024,734755.76,0.16,9/6/2022,B2C,webinar,26023,3398,1335,6
1816.22,Intuitive responsive support,referral,0.85,4/4/2024,563280.3,0.81,11/25/2022,B2C,social media,11685,2196,788,6
94084.21,Multi-lateral dedicated workforce,referral,0.23,6/15/2024,406522.77,0.58,6/15/2023,B2B,podcast,10769,1097,233,0
64041.37,Cross-platform demand-driven encoding,promotion,0.55,11/4/2023,174462.47,0.16,7/21/2023,B2B,social media,12433,1268,622,3
49375.81,Networked even-keeled toolset,organic,0.95,9/5/2023,680416.9,0.58,3/16/2023,B2B,social media,15311,2459,1081,10
14810.62,Optional actuating standardization,referral,0.45,5/6/2024,477528.27,0.94,7/4/2023,B2B,webinar,47819,5634,1621,7
36848.3,Innovative web-enabled function,referral,0.1,9/5/2023,4190.95,0.92,11/5/2022,B2C,webinar,49188,4116,2033,2
21510.43,Configurable methodical service-desk,referral,0.92,11/7/2023,23176.85,0.23,3/23/2023,B2B,email,27568,3249,1236,11
99520.93,Cross-group empowering attitude,paid,0.65,1/25/2024,386133.95,0.52,9/14/2022,B2C,podcast,29769,2117,793,5
19213.46,Intuitive didactic installation,organic,0.96,3/27/2024,925274.53,0.17,6/24/2023,B2B,email,38693,2958,1255,12
17573.23,Fundamental dedicated encryption,promotion,0.79,8/17/2023,460559.74,0.38,7/16/2023,B2B,email,16396,2045,907,7
25396.4,De-engineered 4thgeneration moratorium,promotion,0.1,5/30/2024,292885.55,0.45,9/26/2022,B2C,email,37480,4229,1678,1
34644.22,Managed upward-trending website,referral,0.72,2/7/2024,478980.33,0.2,2/7/2023,B2B,podcast,35658,6676,1591,11
60274.59,Self-enabling human-resource infrastructure,organic,0.91,1/9/2024,974038.96,0.69,4/20/2023,B2B,webinar,28942,3020,910,8
79680.62,Cross-platform 24/7 archive,promotion,0.96,7/15/2024,435524.36,0.9,1/16/2023,B2B,email,28431,3897,1864,17
46775.63,Future-proofed local forecast,referral,0.75,8/11/2023,814672.28,0.67,8/1/2023,B2B,webinar,12747,1846,493,3
48366.5,Horizontal hybrid instruction set,promotion,0.87,7/24/2024,41004.95,0.21,8/26/2022,B2B,social media,10189,529,164,1
84973.4,Inverse contextually-based neural-net,organic,0.16,1/28/2024,390736.64,0.16,6/26/2023,B2C,podcast,29118,4354,1435,2
37344.7,Polarized hybrid system engine,organic,0.43,11/17/2023,463541.48,0.98,2/15/2023,B2C,email,45773,3511,1165,5
14391.98,Managed analyzing service-desk,promotion,0.83,10/9/2023,456537.4,0.23,7/5/2023,B2C,email,11899,2310,886,7
99838.63,Seamless clear-thinking product,organic,0.18,10/5/2023,14073.59,0.63,11/18/2022,B2B,email,11267,814,393,0
29076.12,Networked local adapter,referral,0.1,7/3/2024,948309.55,0.61,10/17/2022,B2B,social media,41551,4661,1268,1
87963.28,Open-architected neutral open system,promotion,0.57,9/20/2023,993906.77,0.69,4/19/2023,B2B,podcast,21394,1343,317,1
53935.8,Secured optimal website,paid,0.4,12/12/2023,958654.12,0.44,5/25/2023,B2C,social media,13556,2704,700,2
71277.1,Seamless zero-defect portal,paid,0.56,7/19/2024,932824.61,0.21,8/12/2022,B2B,email,13890,1740,810,4
15968.2,Configurable eco-centric capability,paid,0.15,3/9/2024,430007.3,0.53,10/2/2022,B2C,social media,40740,5675,2234,3
54468.41,Customizable directional paradigm,paid,0.7,8/16/2023,924154.29,0.7,1/20/2023,B2C,social media,24502,1471,420,2
29393.78,Cross-platform holistic encryption,promotion,0.8,2/15/2024,72323.84,0.34,7/27/2023,B2B,podcast,31777,5163,2296,18
9147.79,Vision-oriented encompassing system engine,referral,0.28,3/22/2024,42048.95,0.9,11/24/2022,B2B,email,20627,1680,770,2
68801.22,Ergonomic next generation throughput,organic,0.65,3/25/2024,482216.95,0.6,12/16/2022,B2B,social media,18792,3471,1575,10
1309.17,Vision-oriented 4thgeneration conglomeration,organic,0.27,4/22/2024,273231.88,0.91,1/18/2023,B2C,podcast,18433,1488,707,1
27168.6,Ameliorated secondary data-warehouse,organic,0.1,8/24/2023,704768.1,0.74,4/29/2023,B2B,social media,21016,1651,455,0
39682.9,Programmable executive workforce,paid,0.7,7/1/2024,116505.36,0.95,11/22/2022,B2B,webinar,33897,1880,801,5
89227.7,Cross-group user-facing application,promotion,0.0,1/6/2024,617379.96,0.9,2/27/2023,B2C,podcast,12612,1523,515,0
96917.97,Secured systematic architecture,promotion,0.39,4/16/2024,571977.28,0.55,11/26/2022,B2C,podcast,33483,4511,2041,7
28323.41,Seamless bifurcated firmware,organic,0.9,12/12/2023,984261.3,0.84,9/6/2022,B2B,webinar,27159,1625,680,6
63656.18,Intuitive directional website,referral,0.4,1/7/2024,77500.94,0.17,6/15/2023,B2B,podcast,24541,4081,1766,7
69084.1,Mandatory incremental throughput,organic,0.98,7/1/2024,210953.33,0.51,2/28/2023,B2B,podcast,45920,5418,2150,21
65447.41,Organic 24/7 secured line,paid,0.26,10/6/2023,477907.76,0.5,7/14/2023,B2B,email,36531,4700,1190,3
20328.53,User-friendly analyzing moratorium,organic,0.97,3/16/2024,658107.7,0.99,4/6/2023,B2B,email,11585,1345,488,4
8041.9,Programmable discrete intranet,paid,0.96,2/13/2024,567808.35,0.5,3/5/2023,B2B,social media,13943,1535,760,7
19030.69,Future-proofed empowering forecast,promotion,0.75,11/5/2023,472138.22,0.39,12/11/2022,B2C,webinar,33939,4545,2187,16
6124.7,Re-engineered solution-oriented core,referral,0.67,2/11/2024,397435.21,0.87,10/20/2022,B2B,email,29457,2158,459,3
11271.19,Diverse grid-enabled forecast,referral,0.81,11/18/2023,538367.39,0.96,11/18/2022,B2C,social media,11021,851,212,1
28203.84,Function-based motivating functionalities,organic,0.24,3/18/2024,570246.17,0.64,12/11/2022,B2C,email,21653,3881,929,2
99957.15,User-centric holistic firmware,referral,0.62,3/12/2024,430498.24,0.63,8/6/2022,B2C,webinar,23417,4494,1877,11
27675.42,Virtual real-time architecture,paid,0.1,12/25/2023,672667.53,0.7,6/6/2023,B2B,email,19692,2087,929,0
12480.75,Open-source 6thgeneration secured line,promotion,0.82,9/30/2023,847778.95,0.9,3/7/2023,B2B,podcast,16873,1528,403,3
84119.33,Reduced leadingedge architecture,organic,0.64,6/6/2024,816593.62,0.93,4/23/2023,B2C,email,15675,2297,807,5
6658.22,Fully-configurable 24/7 knowledgebase,promotion,0.3,1/20/2024,273952.77,0.64,9/30/2022,B2C,webinar,10161,1131,511,1
53826.21,Organic 4thgeneration neural-net,promotion,0.2,4/16/2024,683796.77,0.2,10/29/2022,B2B,podcast,47065,2532,1063,2
85125.0,Centralized 3rdgeneration budgetary management,promotion,0.14,8/11/2023,364648.39,0.56,7/26/2023,B2C,webinar,36557,2684,973,1
79220.8,Persevering web-enabled workforce,paid,0.3,1/3/2024,29575.48,0.6,6/23/2023,B2C,social media,43763,6888,2597,7
46560.5,Multi-channeled high-level interface,paid,0.85,8/15/2023,489015.27,0.67,4/6/2023,B2C,social media,42606,6341,2235,18
56850.62,Re-contextualized high-level project,referral,0.98,4/22/2024,383111.17,0.84,7/13/2023,B2C,social media,21534,1164,336,3
94856.15,Right-sized tangible product,referral,0.23,2/16/2024,283711.16,0.84,11/9/2022,B2B,email,39127,3259,1204,2
93383.63,Diverse leadingedge initiative,promotion,0.76,8/16/2023,749909.68,0.6,10/17/2022,B2B,email,35851,3035,1234,9
26183.57,Intuitive transitional hardware,referral,0.26,9/15/2023,429790.1,0.47,2/25/2023,B2B,social media,11016,1661,767,1
99128.36,Diverse 6thgeneration superstructure,promotion,0.78,1/5/2024,852334.6,0.9,8/5/2022,B2B,email,34253,1813,708,5
80647.64,Enhanced 4thgeneration hierarchy,referral,0.81,4/17/2024,872159.47,0.9,8/6/2022,B2B,webinar,34276,2249,963,7
30883.42,Function-based systematic emulation,paid,0.37,7/12/2024,873342.13,0.63,3/2/2023,B2B,social media,33247,5651,1401,5
24998.61,Managed asymmetric array,organic,0.39,7/6/2024,71257.79,0.4,10/14/2022,B2C,webinar,34300,2633,891,3
